Category,Subcategory,Item,Typical weight (kg),Embodied CO2e per kg,Landfill CO2e per kg,Embodied CO2e saved (kg),Landfill CO2e avoided (kg),Collection emissions (kg),Net CO2e saved at 0.6 substitution (kg),Carbon points awarded,Source notes
Furniture,Soft furniture,Sofa — 3-seater,55,5.0,0.497,275.0,27.3,1.4,190.9,191,"Upholstered, mixed materials. FIRA avg for new manufacture"
Furniture,Soft furniture,Sofa — 2-seater,40,5.0,0.497,200.0,19.9,1.4,138.5,138,"Upholstered, mixed materials"
Furniture,Soft furniture,Armchair,25,5.0,0.497,125.0,12.4,1.4,86.0,86,Upholstered single seat
Furniture,Soft furniture,Sofa bed,60,5.2,0.497,312.0,29.8,1.4,215.6,216,Includes mechanism — higher embodied
Furniture,Soft furniture,Recliner,45,5.5,0.497,247.5,22.4,1.4,169.5,170,Mechanism + upholstery
Furniture,Soft furniture,Footstool / ottoman,8,4.5,0.497,36.0,4.0,1.4,24.2,24,Smaller upholstered item
Furniture,Beds & mattresses,Double mattress,30,6.0,0.497,180.0,14.9,1.4,121.5,122,WRAP mattress research avg
Furniture,Beds & mattresses,Single mattress,18,6.0,0.497,108.0,8.9,1.4,72.3,72,WRAP mattress research avg
Furniture,Beds & mattresses,King mattress,40,6.0,0.497,240.0,19.9,1.4,162.5,162,WRAP mattress research avg
Furniture,Beds & mattresses,Bed frame — wooden double,35,1.0,0.925,35.0,32.4,1.4,52.0,52,"Solid wood, DEFRA wood landfill factor"
Furniture,Beds & mattresses,Bed frame — metal double,30,4.0,0.1,120.0,3.0,1.4,73.6,74,"Metal — mostly recycled, low landfill"
Furniture,Beds & mattresses,Divan base,30,3.5,0.497,105.0,14.9,1.4,76.5,76,Mixed wood/fabric construction
Furniture,Beds & mattresses,Cot / child bed,15,1.2,0.925,18.0,13.9,1.4,23.3,23,Wooden frame
Furniture,Storage,Wardrobe — 2-door,50,1.0,0.925,50.0,46.2,1.4,74.8,75,Solid or engineered wood
Furniture,Storage,Wardrobe — 3-door,80,1.0,0.925,80.0,74.0,1.4,120.6,121,Solid or engineered wood
Furniture,Storage,Chest of drawers,30,1.0,0.925,30.0,27.8,1.4,44.4,44,Typical 4-drawer
Furniture,Storage,Bedside table,12,1.0,0.925,12.0,11.1,1.4,16.9,17,Small wooden unit
Furniture,Storage,Bookshelf — tall,25,1.0,0.925,25.0,23.1,1.4,36.7,37,5-6 shelf
Furniture,Storage,Bookshelf — small,12,1.0,0.925,12.0,11.1,1.4,16.9,17,3-shelf
Furniture,Storage,Shoe rack / cabinet,15,1.0,0.925,15.0,13.9,1.4,21.5,22,Wooden or mixed
Furniture,Storage,Sideboard,40,1.0,0.925,40.0,37.0,1.4,59.6,60,Living/dining storage
Furniture,Storage,TV stand / unit,25,1.0,0.925,25.0,23.1,1.4,36.7,37,Engineered wood typical
Furniture,Storage,Filing cabinet — metal,30,4.0,0.1,120.0,3.0,1.4,73.6,74,"Steel, DEFRA material factor"
Furniture,Storage,Filing cabinet — wooden,25,1.0,0.925,25.0,23.1,1.4,36.7,37,Wooden construction
Furniture,Tables & desks,Dining table — 4-seater,35,1.0,0.925,35.0,32.4,1.4,52.0,52,Solid wood typical
Furniture,Tables & desks,Dining table — 6-seater,55,1.0,0.925,55.0,50.9,1.4,82.5,82,Larger dining
Furniture,Tables & desks,Coffee table,15,1.0,0.925,15.0,13.9,1.4,21.5,22,Wooden or mixed
